,No.,Altitude,Date,https://docs.google.com/spreadsheets/d/1fSvWzYNNyPRax3SlRuPMMsVsCZzNOj_fLgdczTBqpuk/edit#gid=941757145,Family,Species,Sex,W_length,B_length,w (g),插針重/針種類,Dw(g),Wei,Note_WT ,label,ID(ima),Note_SW,疊,籤,檔案日期,影像問題,Note_Chiou_Specimen,Note_thermal,Hot,Cold,Before.jpg,Temp_min_bf,Temp_max_bf,Temp_avg_bf,After.jpg,Temp_min,Temp_max,Temp_avg,Note,leg,點測
68,SJTT0068,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO056,#N/A,19.83,13.17,0.0515,0.0372,0.0145,#N/A,,1,1,,1,1,#N/A,#N/A,無頭針,,1,0,IR_13702,-1,0.2,-0.4,IR_13782,40.3,42.6,41.5,胸的地方有腳,,
69,SJTT0069,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_ARC02,#N/A,17.78,15.48,0.0964,0.0369,0.0605,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,,,,,IR_13694,40.5,43.9,42.7,,,
70,SJTT0070,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC040,male,18.47,15.44,0.0707,0.0356,0.0351,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13772,14.5,14.7,14.6,IR_13784,34.7,39.9,36.9,胸的地方有腳,,
71,SJTT0071,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO066,#N/A,36.68,23.03,0.2447,0.038,0.2067,#N/A,右翅破損,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13712,16.7,17.2,16.9,IR_13764,42.3,44.8,43.4,,,
72,SJTT0072,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO029,#N/A,18.11,10.78,0.0574,0.0369,0.0198,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13714,16.6,16.8,16.7,IR_13742,39,41.7,40.1,,,
73,SJTT0073,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT01,#N/A,19.41,12.64,0.0646,0.037,0.0268,#N/A,,1,1,,1,1,#N/A,#N/A,,,0,1,IR_13716,17,17.2,17.1,IR_13750,-2.1,-1.3,-1.6,,,
74,SJTT0074,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT32,#N/A,18.55,11.08,0.056,0.0381,0.0187,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13728,15.8,16.1,15.9,IR_13752,42,44.5,43,,,
75,SJTT0075,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT11,female,13.73,,0.0456,--,--,#N/A,標本破損不秤重,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13794,15.9,16,15.9,IR_13826,39.7,42.8,41.4,,,
76,SJTT0076,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC005,male,24.76,22.51,0.164,0.0361,0.1279,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13796,18.4,18.8,18.6,IR_13816,37.5,41.7,39,,,
77,SJTT0077,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,#N/A,22.84,14.66,0.0572,0.0368,0.0196,#N/A,,1,1,,1,1,#N/A,#N/A,,,0,1,IR_13822,17.2,17.4,17.3,IR_13850,-1.1,-0.3,-0.7,,,
78,SJTT0078,2000,28-VI-2017,"30.65613, 102.74873",Drepanidae,SJ_THY17,female,20.94,16.5,0.1228,0.0362,0.0866,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13732,16.5,17,16.8,IR_13766,37.4,39.1,38.3,,,
79,SJTT0079,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO078,#N/A,14.68,8.67,0.0432,0.0386,0.0042,#N/A,,1,1,,1,1,#N/A,#N/A,無頭針,,1,0,IR_13734,16.2,16.6,16.4,IR_13744,41.6,42.5,42.1,,,
80,SJTT0080,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO129,#N/A,18.5,9.98,0.0498,0.0375,0.012,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,,,,,IR_13760,42.3,43.8,43,,,
81,SJTT0081,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,#N/A,20.69,13.35,0.0572,0.0375,0.0185,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13740,15.7,15.9,15.8,IR_13758,35,36.6,35.7,,,
82,SJTT0082,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC027,#N/A,15.65,14.89,0.0779,0.038,0.0399,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13834,16.1,16.4,16.3,IR_13866,41.7,43,42.5,,,
83,SJTT0083,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC040,male,17.41,16.02,0.0733,0.0376,0.0357,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13790,17,19.2,18.3,IR_13806,39.9,42.1,41.1,,,
84,SJTT0084,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC035,female,23.1,18.69,0.1228,0.0372,0.0856,#N/A,右翅破損,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,No photo (冰),,,,,,,,,,,,,
85,SJTT0085,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,#N/A,21.26,16.23,0.0519,0.0374,0.0144,#N/A,,1,1,,1,1,#N/A,#N/A,,,0,1,,,,,IR_13720,-2.8,-2.1,-2.4,,,
86,SJTT0086,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT39,female,16.16,10.92,0.0568,0.0367,0.0201,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,,,IR_13774,14.6,14.9,14.8,,,,,,,
87,SJTT0087,2000,28-VI-2017,"30.65613, 102.74873",Crambidae,SJ_CRA07,male,10.29,9.7,0.0431,0.0387,0.0044,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13780,14.6,14.8,14.7,IR_13786,37.4,40.2,38.6,,,
88,SJTT0088,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO129,#N/A,19.92,10.56,0.0502,0.038,0.013,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13832,16.6,16.8,16.7,IR_13844,42.9,44.2,43.7,,,
89,SJTT0089,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO019,male,9.82,7.07,0.0403,0.0386,0.0017,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13798,16.7,16.9,16.8,IR_13808,43.3,43.8,43.5,,,
90,SJTT0090,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,female,21.33,14.44,0.0546,0.0368,0.0178,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13800,15.8,16.1,15.9,IR_13812,40.8,41.7,41.2,,,
91,SJTT0091,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC045,#N/A,17.96,16.19,0.1195,0.0374,0.0843,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13802,17.5,19,18.3,IR_13824,40.6,43.1,42.1,,,
